from,to,const,,,,,,,,,,,,
% Hybrid vehicles (GWh / thousand cars),,,,,,,,,,,,,,
ttMACT,DD07,0.00001665,,,,,,,,,,,,
ttNYCT,DD07,0.000008325,,,,,,,,,,,,
ttNYCT,DD06,0.000008325,,,,,,,,,,,,
ttRICT,DD07,0.00001665,,,,,,,,,,,,
ttMDDE,DD03,0.000008325,,,,,,,,,,,,
ttMDDE,DD01,0.000008325,,,,,,,,,,,,
ttNJDE,DD03,0.00001665,,,,,,,,,,,,
ttPADE,DD03,0.00001665,,,,,,,,,,,,
ttGAFL,DD09,0.000008325,,,,,,,,,,,,
ttGAFL,DD08,0.000008325,,,,,,,,,,,,
ttSCGA,DD09,0.00001665,,,,,,,,,,,,
ttTNGA,DD09,0.00001665,,,,,,,,,,,,
ttILIA,DD05,0.000008325,,,,,,,,,,,,
ttILIA,DD04,0.000008325,,,,,,,,,,,,
ttMNIA,DD05,0.00001665,,,,,,,,,,,,
ttMOIA,DD10,0.000008325,,,,,,,,,,,,
ttMOIA,DD05,0.000008325,,,,,,,,,,,,
ttNEIA,DD05,0.000008325,,,,,,,,,,,,
ttSDIA,DD05,0.00001665,,,,,,,,,,,,
ttWIIA,DD05,0.000008325,,,,,,,,,,,,
ttWIIA,DD04,0.000008325,,,,,,,,,,,,
ttMTID,DD11,0.00001665,,,,,,,,,,,,
ttORID,DD11,0.00001665,,,,,,,,,,,,
ttUTID,DD11,0.00001665,,,,,,,,,,,,
ttWAID,DD11,0.00001665,,,,,,,,,,,,
ttWYID,DD12,0.000008325,,,,,,,,,,,,
ttWYID,DD11,0.000008325,,,,,,,,,,,,
ttINIL,DD04,0.000008325,,,,,,,,,,,,
ttINIL,DD01,0.000008325,,,,,,,,,,,,
ttKYIL,DD04,0.000008325,,,,,,,,,,,,
ttKYIL,DD01,0.000008325,,,,,,,,,,,,
ttMOIL,DD10,0.000008325,,,,,,,,,,,,
ttMOIL,DD04,0.000008325,,,,,,,,,,,,
ttWIIL,DD04,0.00001665,,,,,,,,,,,,
ttKYIN,DD01,0.00001665,,,,,,,,,,,,
ttMIIN,DD01,0.00001665,,,,,,,,,,,,
ttOHIN,DD01,0.00001665,,,,,,,,,,,,
ttMOKS,DD10,0.00001665,,,,,,,,,,,,
ttNEKS,DD10,0.000008325,,,,,,,,,,,,
ttNEKS,DD05,0.000008325,,,,,,,,,,,,
