from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
ccCONC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccNCCO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccCONE,,360.7975,360.7975,4741.675,8904.4,12870.35,16659.375,20289.85,23778.8,27142,30394,33548.75,36618.5,39615.5,42550.25,45433.5,54108.5,51083,53866.5,56633.5,59391.5,62147.5,64908.25,67680.25,70469.25,73281.25,76121.75,78996.25,81909.5,89048.75,87872.75,90932.25,94049.5,97229.25,100475.5,103793,107185.75,110658,114213.75,117857.5,121593,125424.5
ccNECO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccCONM,,1465.775,1465.775,19263.4,36174.75,52287,67680.25,82429.25,96603.25,110266.5,123478.5,136294.5,148766,160941,172864.25,184577.5,219820,207528.75,218837.5,230078.75,241283.25,252480,263695,274957.5,286287.5,297710,309250,320927.5,332765,361767.5,356990,369420,382085,395002.5,408190,421667.5,435452.5,449557.5,464002.5,478805,493982.5,509547.5
ccNMCO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccCONV,,402.73,402.73,370.5125,340.87,313.6,288.5125,265.4325,244.19725,224.6615,206.6885,190.1535,174.94125,160.94575,148.07025,136.2245,125.3265,115.3005,106.0765,97.59025,89.783,82.6005,75.9925,69.913,64.32,59.1745,54.4405,50.08525,46.0785,42.392,39.00075,35.88075,33.01025,30.3695,27.93975,25.70475,23.6483,21.756425,20.015925,18.41465,16.941475,15.58615
ccNVCO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccCONY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccNYCO,,24.0525,24.0525,22.1283,20.358025,18.7294,17.23105,15.85255,14.58435,13.4176,12.3442,11.35665,10.448125,9.612275,8.8433,8.135825,7.484975,6.886175,458.465,897.0125,1324.2625,1741.8375,2151.24,2553.875,2951.1,3344.1,3734.075,4122.1,4509.225,5857.925,5857.725,6061.675,6269.475,6481.45,6697.85,6919,7145.175,7376.625,7613.675,7856.55,8105.575,8361
ccCOOR,,84.456,84.456,77.6995,71.4835,65.76475,60.50375,55.6635,51.21025,47.1135,43.3445,39.87675,36.68675,33.75175,31.05175,28.5675,26.282,24.179525,22.245175,20.46555,18.828325,17.32205,15.936275,14.661375,13.488475,12.4094,11.41665,10.5033,9.66305,8.89,8.1788,7.5245,6.92255,6.368725,5.859225,5.3905,4.95925,4.562525,4.197525,3.861725,3.552775,3.26855
ccORCO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccCOPA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccPACO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccCOTX,,354.54,354.54,326.175,300.0825,276.075,253.99,233.67025,214.97675,197.7785,181.95625,167.39975,154.00775,141.68725,130.35225,119.924,110.33,101.50375,93.38325,85.91275,79.03975,72.7165,66.89925,61.54725,56.6235,52.0935,986.255,6706.1,12412.55,31351.25,32291.75,33260.5,34258.25,35286,36344.75,37435,38558,39714.75,40906.25,42133.5,43397.5,44699.25
ccTXCO,,354.54,354.54,326.175,300.0825,276.075,253.99,233.67025,214.97675,197.7785,181.95625,167.39975,154.00775,141.68725,130.35225,119.924,110.33,101.50375,93.38325,85.91275,79.03975,72.7165,66.89925,61.54725,56.6235,52.0935,986.255,6706.1,12412.55,32294.75,32291.75,33260.5,34258.25,35286,36344.75,37435,38558,39714.75,40906.25,42133.5,43397.5,44699.25
ccCOUT,,1078.4425,1078.4425,992.1675,912.795,839.77,772.59,710.7825,653.92,601.605,553.4775,509.2,468.4625,430.985,396.5075,364.7875,335.6025,308.755,284.055,261.33,240.42425,221.19025,203.495,187.2155,172.23825,158.459,145.7825,134.11975,123.39025,33553.5,33544.5,33536,33528.25,33521.25,33514.75,38887.25,40053.75,41255.25,42493,43767.75,45080.75,46433.25
ccUTCO,,1078.4425,1078.4425,992.1675,912.795,839.77,772.59,710.7825,653.92,601.605,553.4775,509.2,468.4625,430.985,396.5075,364.7875,335.6025,308.755,284.055,261.33,240.42425,221.19025,203.495,187.2155,172.23825,158.459,145.7825,134.11975,123.39025,32567.25,33544.5,33536,33528.25,33521.25,33514.75,38887.25,40053.75,41255.25,42493,43767.75,45080.75,46433.25
ccCOWA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccWACO,,69.6735,69.6735,64.0995,58.97175,54.254,49.9135,45.9205,42.247,38.86725,35.75775,32.89725,30.26525,27.84425,25.6165,23.567275,21.6819,19.94735,18.35155,16.883425,15.53275,14.290125,13.146925,12.095175,11.12755,10.23735,9.418375,8.6649,7.9717,7.333975,6.74725,6.207475,5.710875,5.254,4.833675,4.447,4.091225,3.763925,3.462825,3.1858,2.930925,2.69645
ccCOWY,,2019.025,2019.025,1857.505,1708.905,1572.1925,1446.415,1330.7025,1224.2475,1126.3075,1036.2025,953.305,877.0425,806.8775,17230.6,33365.25,106586.5,113099.25,151006.5,187820,223685.5,258737.5,293105,326905,360250,393240,425977.5,442062.5,458365,498315,491735,508855,526300,544095,562260,580825,599810,619240,639140,659530,680432.5,701875
ccWYCO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccCTMA,,16852.125,16852.125,1138712.5,1172872.5,1208060,1244300,1281630,1320077.5,1359680,1400470,1442485,1485760,1530332.5,1576242.5,1623530,1672235,1722402.5,1774075,1827297.5,1882115,1938580,1996737.5,2056640,2118337.5,2181887.5,2247345,2314765,2384207.5,2455735,2529400,2605300,2683450,2763950,2846875,2932275,3020250,3110850,3204175,3300300,3399300,3501300
ccMACT,,16852.125,16852.125,1928632.5,1986490,2046085,2107467.5,2170692.5,2235812.5,2302887.5,2371972.5,2443132.5,2516425,2591925,2669675,2749775,2832250,2917225,3004750,3094875,3187725,3283375,3381875,3483325,3587825,3695450,3806325,3920500,4038125,4159275,4284050,4412575,4544950,4681300,4821725,4966375,5115375,5268850,5426900,5589700,5757400,5930125
ccCTNY,,37442.5,37442.5,34447.25,31691.5,29156,26823.5,24677.725,22703.5,20887.225,19216.25,17678.95,16264.625,14963.45,13766.375,12665.075,228908.5,235775.75,242849,242060,241334.25,265367.5,273327.5,281527.5,289975,298672.5,307635,316862.5,326367.5,372967.5,364852.5,356632.5,367330,378350,389702.5,401392.5,413435,425837.5,438612.5,451770,465325,479282.5
ccNYCT,,37442.5,37442.5,34447.25,31691.5,29156,26823.5,24677.725,22703.5,20887.225,19216.25,17678.95,16264.625,14963.45,13766.375,12665.075,228908.5,235775.75,242849,242060,241334.25,265367.5,273327.5,281527.5,289975,298672.5,307635,316862.5,326367.5,336160,346245,356632.5,367330,378350,389702.5,401392.5,413435,425837.5,438612.5,451770,465325,479282.5
ccCTRI,,2510.025,2510.025,287257.5,295875,304750,313892.5,323310,333010,343000,353290,363887.5,374805,386050,397630,409560,421847.5,434502.5,447537.5,460962.5,474792.5,489035,503707.5,518817.5,534382.5,550415,566927.5,583935,601452.5,619495,638080,657222.5,676940,697247.5,718165,739710,761902.5,784760,808302.5,832550,857527.5,883252.5
ccRICT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccDEMD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccMDDE,,5116.8,5116.8,585590,603157.5,621252.5,639890,659087.5,678860,699225,720202.5,741807.5,764062.5,786985,810595,834912.5,859960,885757.5,912330,939700,967892.5,996927.5,1026835,1057640,1089370,1122052.5,1155712.5,1190385,1226095,1262880,1300765,1339787.5,1379982.5,1421380,1464022.5,1507942.5,1553182.5,1599777.5,1647770,1697202.5,1748120,1800562.5
ccDENJ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccNJDE,,1309.88,1309.88,149908.5,154405.75,159038,163809,168723.25,173785,178998.5,184368.5,189899.5,195596.5,201464.5,207508.5,213733.75,220145.75,226750,233552.5,240559.25,247776,255210,262865,270752.5,278875,287240,295857.5,304732.5,313875,323292.5,332990,342980,353270,363867.5,374782.5,386027.5,397607.5,409535,421822.5,434477.5,447510,460935
ccDEPA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccPADE,,2329.3925,2329.3925,266585,274582.5,282820,291305,300045,309045,318317.5,327867.5,337702.5,347835,358270,369017.5,380087.5,391490,403235,415332.5,427792.5,440625,453845,467460,481482.5,495927.5,510805,526130,541915,558172.5,574917.5,592165,609930,628227.5,647072.5,666485,686480,707075,728287.5,750135,772640,795817.5,819692.5
ccFLGA,,72425,72425,668875,688940,709607.5,730897.5,752822.5,775407.5,798670,822630,847310,872730,898910,925877.5,953655,982265,1011732.5,1042085,1073347.5,1105547.5,1138712.5,1172875,1208060,1244302.5,1281632.5,1320080,1359682.5,1400472.5,1442487.5,1485762.5,1530335,1576245,1623532.5,1672237.5,1722405,1774077.5,1827300,1882120,1938582.5,1996740,2056642.5
ccGAFL,,72425,72425,951825,1787430,2583550,3344125,4072900,4773250,5448350,6101175,6734425,7350650,7952225,8541350,9120125,9799225,10254150,10812925,11368375,11922000,12475225,13029400,13585800,14145675,14710150,15280325,15857325,16442150,17875225,17639200,18253325,18879075,19517350,20169025,20834950,21515975,22212975,22926750,23658150,24408025,25177250
ccFLIL,,766.255,766.255,704.955,648.5575,596.675,548.94,505.025,464.6225,427.4525,393.2575,361.795,6881.45,13246.1,19479.175,25602.5,55881.75,55862.75,60728.75,60712.75,66191,68176.75,70222,72328.75,74498.5,76733.5,79035.5,81406.5,83848.75,96520,96513.5,91623.75,94372.5,97203.75,100119.75,103123.5,106217.25,109403.75,112685.75,116066.25,119548.25,123134.75
ccILFL,,766.255,766.255,704.955,648.5575,596.675,548.94,505.025,464.6225,427.4525,393.2575,361.795,6881.45,13246.1,19479.175,25602.5,55881.75,55862.75,60728.75,60712.75,66191,68176.75,70222,72328.75,74498.5,76733.5,79035.5,81406.5,83848.75,86364.25,88955.25,91623.75,94372.5,97203.75,100119.75,103123.5,106217.25,109403.75,112685.75,116066.25,119548.25,123134.75
