code,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
CP,X % Coal production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP,X % Natural gas production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas demand (MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTUT,136699,22475,21468,16327,13202,9982,6831,5368,4958,5088,6381,10039,14580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTVT,8569,1199,1216,1137,864,509,381,328,328,357,475,696,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTVA,209373,32636,27883,20813,15100,11326,11702,10894,9153,7961,13117,21422,27366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTWA,216462,29519,28452,23059,21034,16038,12367,9906,9301,10161,13657,16934,26034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTWV,82594,11625,11260,9737,5991,4724,3677,3583,3795,3775,5543,8492,10392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTWI,365382,57078,53547,44147,27507,18633,12985,13043,13000,14040,21739,35113,54550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTWY,65363,8338,7336,6565,5644,4967,4027,3654,3731,3445,4828,5509,7319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% NG Exports to Mexico (MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDMX,365396,39875,37446,31018,28111,25137,30363,30179,34585,26514,28451,25825,27892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Natural gas storage boundaries (MMcf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSAL,,-11818.5,,,,,,,,,,,11818.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSAR,,-4588.75,,,,,,,,,,,4588.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSCA,,-194841.125,,,,,,,,,,,194841.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSCO,,-30787.125,,,,,,,,,,,30787.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIL,,-163545.75,,,,,,,,,,,163545.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIN,,-22166.375,,,,,,,,,,,22166.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
