from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
CPKY,9TKY,0.06,,,,,,,,,,,,
CPLA,9TLA,0.06,,,,,,,,,,,,
CPME,9TME,0.06,,,,,,,,,,,,
CPMD,9TMD,0.06,,,,,,,,,,,,
CPMA,9TMA,0.06,,,,,,,,,,,,
CPMI,9TMI,0.06,,,,,,,,,,,,
CPMN,9TMN,0.06,,,,,,,,,,,,
CPMS,9TMS,0.06,,,,,,,,,,,,
CPMO,9TMO,0.06,,,,,,,,,,,,
CPMT,9TMT,0.06,,,,,,,,,,,,
CPNE,9TNE,0.06,,,,,,,,,,,,
CPNV,9TNV,0.06,,,,,,,,,,,,
CPNH,9TNH,0.06,,,,,,,,,,,,
CPNJ,9TNJ,0.06,,,,,,,,,,,,
CPNM,9TNM,0.06,,,,,,,,,,,,
CPNY,9TNY,0.06,,,,,,,,,,,,
CPNC,9TNC,0.06,,,,,,,,,,,,
CPND,9TND,0.06,,,,,,,,,,,,
CPOH,9TOH,0.06,,,,,,,,,,,,
CPOK,9TOK,0.06,,,,,,,,,,,,
CPOR,9TOR,0.06,,,,,,,,,,,,
CPPA,9TPA,0.06,,,,,,,,,,,,
CPRI,9TRI,0.06,,,,,,,,,,,,
CPSC,9TSC,0.06,,,,,,,,,,,,
CPSD,9TSD,0.06,,,,,,,,,,,,
CPTN,9TTN,0.06,,,,,,,,,,,,
CPTX,9TTX,0.06,,,,,,,,,,,,
CPUT,9TUT,0.06,,,,,,,,,,,,
CPVT,9TVT,0.06,,,,,,,,,,,,
CPVA,9TVA,0.06,,,,,,,,,,,,
CPWA,9TWA,0.06,,,,,,,,,,,,
CPWV,9TWV,0.06,,,,,,,,,,,,
CPWI,9TWI,0.06,,,,,,,,,,,,
CPWY,9TWY,0.06,,,,,,,,,,,,
