from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
% Geographical variation in feedstock max. availability for cost-curve (k-ton/h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPID,7TID,1.03174417,1.03174417,1.03174417,1.03174417,1.04710316,1.06246215,1.07782114,1.082014786,1.086208432,1.090402078,1.094595724,1.09878937,1.104501934,1.110214498,1.115927062,1.121639626,1.12735219,1.132405842,1.137459494,1.142513146,1.147566798,1.15262045,1.155147276,1.157674102,1.160200928,1.162727754,1.16525458,1.167781406,1.170308232,1.172835058,1.175361884,1.17788871,1.180415536,1.182942362,1.185469188,1.187996014,1.19052284,1.193049666,1.195576492,1.198103318,1.200630144
CPIL,7TIL,12.2028794,12.2028794,12.2028794,12.2028794,12.8188436,13.4348078,14.050772,14.62110522,15.19143844,15.76177166,16.33210488,16.9024381,17.21123294,17.52002778,17.82882262,18.13761746,18.4464123,19.13162624,19.81684018,20.50205412,21.18726806,21.872482,22.21508897,22.55769594,22.90030291,23.24290988,23.58551685,23.92812382,24.27073079,24.61333776,24.95594473,25.2985517,25.64115867,25.98376564,26.32637261,26.66897958,27.01158655,27.35419352,27.69680049,28.03940746,28.38201443
CPIN,7TIN,5.99491787,5.99491787,5.99491787,5.99491787,6.298854473,6.602791077,6.90672768,7.21955821,7.53238874,7.84521927,8.1580498,8.47088033,8.576725886,8.682571442,8.788416998,8.894262554,9.00010811,9.285800428,9.571492746,9.857185064,10.14287738,10.4285697,10.57141586,10.71426202,10.85710818,10.99995434,11.1428005,11.28564665,11.42849281,11.57133897,11.71418513,11.85703129,11.99987745,12.14272361,12.28556977,12.42841593,12.57126209,12.71410824,12.8569544,12.99980056,13.14264672
CPIA,7TIA,13.9676435,13.9676435,13.9676435,13.9676435,14.57680747,15.18597143,15.7951354,16.4003647,17.005594,17.6108233,18.2160526,18.8212819,19.31356078,19.80583966,20.29811854,20.79039742,21.2826763,21.81323708,22.34379786,22.87435864,23.40491942,23.9354802,24.20076059,24.46604098,24.73132137,24.99660176,25.26188215,25.52716254,25.79244293,26.05772332,26.32300371,26.5882841,26.85356449,27.11884488,27.38412527,27.64940566,27.91468605,28.17996644,28.44524683,28.71052722,28.97580761
CPKS,7TKS,6.15124343,6.15124343,6.15124343,6.15124343,6.35823805,6.56523267,6.77222729,7.668662472,8.565097654,9.461532836,10.35796802,11.2544032,11.4911008,11.7277984,11.964496,12.2011936,12.4378912,13.34230776,14.24672432,15.15114088,16.05555744,16.959974,17.41218228,17.86439056,18.31659884,18.76880712,19.2210154,19.67322368,20.12543196,20.57764024,21.02984852,21.4820568,21.93426508,22.38647336,22.83868164,23.29088992,23.7430982,24.19530648,24.64751476,25.09972304,25.55193132
CPKY,7TKY,1.60578947,1.60578947,1.60578947,1.60578947,1.694822207,1.783854943,1.87288768,2.15460314,2.4363186,2.71803406,2.99974952,3.28146498,3.393078052,3.504691124,3.616304196,3.727917268,3.83953034,4.185275762,4.531021184,4.876766606,5.222512028,5.56825745,5.741130161,5.914002872,6.086875583,6.259748294,6.432621005,6.605493716,6.778366427,6.951239138,7.124111849,7.29698456,7.469857271,7.642729982,7.815602693,7.988475404,8.161348115,8.334220826,8.507093537,8.679966248,8.852838959
CPLA,7TLA,0.73778788,0.73778788,0.73778788,0.73778788,0.74782112,0.75785436,0.7678876,0.806981078,0.846074556,0.885168034,0.924261512,0.96335499,1.104515486,1.245675982,1.386836478,1.527996974,1.66915747,1.927055966,2.184954462,2.442852958,2.700751454,2.95864995,3.087599198,3.216548446,3.345497694,3.474446942,3.60339619,3.732345438,3.861294686,3.990243934,4.119193182,4.24814243,4.377091678,4.506040926,4.634990174,4.763939422,4.89288867,5.021837918,5.150787166,5.279736414,5.408685662
CPME,7TME,0.04362269,0.04362269,0.04362269,0.04362269,0.044756947,0.045891203,0.04702546,0.049946756,0.052868052,0.055789348,0.058710644,0.06163194,0.06414583,0.06665972,0.06917361,0.0716875,0.07420139,0.075995372,0.077789354,0.079583336,0.081377318,0.0831713,0.084068291,0.084965282,0.085862273,0.086759264,0.087656255,0.088553246,0.089450237,0.090347228,0.091244219,0.09214121,0.093038201,0.093935192,0.094832183,0.095729174,0.096626165,0.097523156,0.098420147,0.099317138,0.100214129
CPMD,7TMD,0.44543008,0.44543008,0.44543008,0.44543008,0.49431101,0.54319194,0.59207287,0.635284806,0.678496742,0.721708678,0.764920614,0.80813255,0.784107348,0.760082146,0.736056944,0.712031742,0.68800654,0.715121854,0.742237168,0.769352482,0.796467796,0.82358311,0.837140767,0.850698424,0.864256081,0.877813738,0.891371395,0.904929052,0.918486709,0.932044366,0.945602023,0.95915968,0.972717337,0.986274994,0.999832651,1.013390308,1.026947965,1.040505622,1.054063279,1.067620936,1.081178593
CPMA,7TMA,0.0162963,0.0162963,0.0162963,0.0162963,0.017110343,0.017924387,0.01873843,0.020689818,0.022641206,0.024592594,0.026543982,0.02849537,0.02961574,0.03073611,0.03185648,0.03297685,0.03409722,0.035127314,0.036157408,0.037187502,0.038217596,0.03924769,0.039762737,0.040277784,0.040792831,0.041307878,0.041822925,0.042337972,0.042853019,0.043368066,0.043883113,0.04439816,0.044913207,0.045428254,0.045943301,0.046458348,0.046973395,0.047488442,0.048003489,0.048518536,0.049033583
