from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
CPMN,8TMN,0.14,,,,,,,,,,,,
CPMS,8TMS,0.14,,,,,,,,,,,,
CPMO,8TMO,0.14,,,,,,,,,,,,
CPMT,8TMT,0.14,,,,,,,,,,,,
CPNE,8TNE,0.14,,,,,,,,,,,,
CPNV,8TNV,0.14,,,,,,,,,,,,
CPNH,8TNH,0.14,,,,,,,,,,,,
CPNJ,8TNJ,0.14,,,,,,,,,,,,
CPNM,8TNM,0.14,,,,,,,,,,,,
CPNY,8TNY,0.14,,,,,,,,,,,,
CPNC,8TNC,0.14,,,,,,,,,,,,
CPND,8TND,0.14,,,,,,,,,,,,
CPOH,8TOH,0.14,,,,,,,,,,,,
CPOK,8TOK,0.14,,,,,,,,,,,,
CPOR,8TOR,0.14,,,,,,,,,,,,
CPPA,8TPA,0.14,,,,,,,,,,,,
CPRI,8TRI,0.14,,,,,,,,,,,,
CPSC,8TSC,0.14,,,,,,,,,,,,
CPSD,8TSD,0.14,,,,,,,,,,,,
CPTN,8TTN,0.14,,,,,,,,,,,,
CPTX,8TTX,0.14,,,,,,,,,,,,
CPUT,8TUT,0.14,,,,,,,,,,,,
CPVT,8TVT,0.14,,,,,,,,,,,,
CPVA,8TVA,0.14,,,,,,,,,,,,
CPWA,8TWA,0.14,,,,,,,,,,,,
CPWV,8TWV,0.14,,,,,,,,,,,,
CPWI,8TWI,0.14,,,,,,,,,,,,
CPWY,8TWY,0.14,,,,,,,,,,,,
CPAL,9TAL,0.14,,,,,,,,,,,,
CPAZ,9TAZ,0.14,,,,,,,,,,,,
CPAR,9TAR,0.14,,,,,,,,,,,,
CPCA,9TCA,0.14,,,,,,,,,,,,
CPCO,9TCO,0.14,,,,,,,,,,,,
CPCT,9TCT,0.14,,,,,,,,,,,,
CPDE,9TDE,0.14,,,,,,,,,,,,
CPFL,9TFL,0.14,,,,,,,,,,,,
CPGA,9TGA,0.14,,,,,,,,,,,,
CPID,9TID,0.14,,,,,,,,,,,,
CPIL,9TIL,0.14,,,,,,,,,,,,
CPIN,9TIN,0.14,,,,,,,,,,,,
CPIA,9TIA,0.14,,,,,,,,,,,,
CPKS,9TKS,0.14,,,,,,,,,,,,
CPKY,9TKY,0.14,,,,,,,,,,,,
CPLA,9TLA,0.14,,,,,,,,,,,,
CPME,9TME,0.14,,,,,,,,,,,,
CPMD,9TMD,0.14,,,,,,,,,,,,
CPMA,9TMA,0.14,,,,,,,,,,,,
CPMI,9TMI,0.14,,,,,,,,,,,,
CPMN,9TMN,0.14,,,,,,,,,,,,
CPMS,9TMS,0.14,,,,,,,,,,,,
CPMO,9TMO,0.14,,,,,,,,,,,,
CPMT,9TMT,0.14,,,,,,,,,,,,
CPNE,9TNE,0.14,,,,,,,,,,,,
CPNV,9TNV,0.14,,,,,,,,,,,,
CPNH,9TNH,0.14,,,,,,,,,,,,
CPNJ,9TNJ,0.14,,,,,,,,,,,,
CPNM,9TNM,0.14,,,,,,,,,,,,
CPNY,9TNY,0.14,,,,,,,,,,,,
CPNC,9TNC,0.14,,,,,,,,,,,,
CPND,9TND,0.14,,,,,,,,,,,,
CPOH,9TOH,0.14,,,,,,,,,,,,
CPOK,9TOK,0.14,,,,,,,,,,,,
CPOR,9TOR,0.14,,,,,,,,,,,,
CPPA,9TPA,0.14,,,,,,,,,,,,
CPRI,9TRI,0.14,,,,,,,,,,,,
CPSC,9TSC,0.14,,,,,,,,,,,,
CPSD,9TSD,0.14,,,,,,,,,,,,
CPTN,9TTN,0.14,,,,,,,,,,,,
CPTX,9TTX,0.14,,,,,,,,,,,,
CPUT,9TUT,0.14,,,,,,,,,,,,
CPVT,9TVT,0.14,,,,,,,,,,,,
CPVA,9TVA,0.14,,,,,,,,,,,,
CPWA,9TWA,0.14,,,,,,,,,,,,
CPWV,9TWV,0.14,,,,,,,,,,,,
CPWI,9TWI,0.14,,,,,,,,,,,,
CPWY,9TWY,0.14,,,,,,,,,,,,
