from,to,
XNCA,NTAB,
XNCA,NTSK,
XNCA,NTMB,
XNCA,NTON,
XNCA,NTQU,
% Off-shore Gulf and Pacific pipelines,,
NTFG,NTAL,
NTFG,NTLA,
NTFG,NTMS,
NTFG,NTTX,
NTFP,NTCA,
% Natural gas production,,
NPAL,NTAL,
NPAR,NTAR,
NPAZ,NTAZ,
NPCA,NTCA,
NPCO,NTCO,
NPKS,NTKS,
NPLA,NTLA,
NPMI,NTMI,
NPMS,NTMS,
NPMT,NTMT,
NPND,NTND,
NPNE,NTNE,
NPNM,NTNM,
NPNY,NTNY,
NPOH,NTOH,
NPOK,NTOK,
NPOR,NTOR,
NPSD,NTSD,
NPTX,NTTX,
NPUT,NTUT,
NPVA,NTVA,
NPWV,NTWV,
NPWY,NTWY,
NPFG,NTFG % Offshore,
NPFP,NTFP,
NPFL,NTFL,%newly added pipelines from production sites - 2012 data update
NPIL,NTIL,
NPIN,NTIN,
NPKY,NTKY,
NPMD,NTMD,
NPPA,NTPA,
NPTN,NTTN,
% Natural gas storage,,
NSAL,NSAL,
NSAR,NSAR,
NSCA,NSCA,
NSCO,NSCO,
NSIL,NSIL,
NSIN,NSIN,
NSIA,NSIA,
NSKS,NSKS,
NSKY,NSKY,
NSLA,NSLA,
NSMD,NSMD,
NSMI,NSMI,
NSMN,NSMN,
NSMS,NSMS,
NSMO,NSMO,
NSMT,NSMT,
NSNE,NSNE,
NSNM,NSNM,
NSNY,NSNY,
NSOH,NSOH,
NSOK,NSOK,
NSOR,NSOR,
NSPA,NSPA,
NSTN,NSTN,
NSTX,NSTX,
NSUT,NSUT,
NSVA,NSVA,
NSWA,NSWA,
NSWV,NSWV,
NSWY,NSWY,
NTAL,NSAL,
NTAR,NSAR,
NTCA,NSCA,
NTCO,NSCO,
NTIL,NSIL,
NTIN,NSIN,
NTIA,NSIA,
NTKS,NSKS,
NTKY,NSKY,
NTLA,NSLA,
NTMD,NSMD,
NTMI,NSMI,
NTMN,NSMN,
NTMS,NSMS,
NTMO,NSMO,
NTMT,NSMT,
NTNE,NSNE,
NTNM,NSNM,
NTNY,NSNY,
NTOH,NSOH,
NTOK,NSOK,
NTOR,NSOR,
NTPA,NSPA,
NTTN,NSTN,
NTTX,NSTX,
NTUT,NSUT,
NTVA,NSVA,
NTWA,NSWA,
NTWV,NSWV,
NTWY,NSWY,
NSAL,NTAL,
NSAR,NTAR,
NSCA,NTCA,
NSCO,NTCO,
NSIL,NTIL,
NSIN,NTIN,
NSIA,NTIA,
NSKS,NTKS,
NSKY,NTKY,
NSLA,NTLA,
NSMD,NTMD,
NSMI,NTMI,
NSMN,NTMN,
NSMS,NTMS,
NSMO,NTMO,
NSMT,NTMT,
NSNE,NTNE,
NSNM,NTNM,
NSNY,NTNY,
NSOH,NTOH,
NSOK,NTOK,
NSOR,NTOR,
NSPA,NTPA,
NSTN,NTTN,
NSTX,NTTX,
NSUT,NTUT,
NSVA,NTVA,
NSWA,NTWA,
NSWV,NTWV,
NSWY,NTWY,
% Pulverized coal,,
EC01,EL01,
EC02,EL02,
EC03,EL03,
EC04,EL04,
EC05,EL05,
EC06,EL06,
EC07,EL07,
EC08,EL08,
EC09,EL09,
EC10,EL10,
EC11,EL11,
EC12,EL12,
EC13,EL13,
% Pulverized coal w/ CCS,,
E401,EL01,
E402,EL02,
E403,EL03,
E404,EL04,
E405,EL05,
E406,EL06,
E407,EL07,
E408,EL08,
E409,EL09,
E410,EL10,
E411,EL11,
E412,EL12,
E413,EL13,
% IGCC,,
ED01,EL01,
ED02,EL02,
ED03,EL03,
ED04,EL04,
ED05,EL05,
ED06,EL06,
ED07,EL07,
ED08,EL08,
ED09,EL09,
ED10,EL10,
ED11,EL11,
ED12,EL12,
ED13,EL13,
% IGCC w/ CCS,,
E501,EL01,
E502,EL02,
E503,EL03,
E504,EL04,
E505,EL05,
E506,EL06,
E507,EL07,
E508,EL08,
E509,EL09,
E510,EL10,
E511,EL11,
E512,EL12,
E513,EL13,
% Inland Wind,,
EW01,EL01,
EW02,EL02,
EW03,EL03,
EW04,EL04,
EW05,EL05,
EW06,EL06,
EW07,EL07,
EW08,EL08,
EW09,EL09,
EW10,EL10,
EW11,EL11,
EW12,EL12,
EW13,EL13,
% Off-shore wind,,
EY02,EL02,
EY03,EL03,
EY07,EL07,
EY08,EL08,
EY09,EL09,
EY11,EL11,
EY13,EL13,
% PV Solar,,
EV01,EL01,
EV02,EL02,
EV03,EL03,
EV04,EL04,
EV05,EL05,
EV06,EL06,
EV07,EL07,
EV08,EL08,
EV09,EL09,
EV10,EL10,
EV11,EL11,
EV12,EL12,
EV13,EL13,
% Solar Thermal,,
EU01,EL01,
EU02,EL02,
EU03,EL03,
EU04,EL04,
EU05,EL05,
EU06,EL06,
EU07,EL07,
EU08,EL08,
EU09,EL09,
EU10,EL10,
EU11,EL11,
EU12,EL12,
EU13,EL13,
% Nuclear,,
EN01,EL01,
EN02,EL02,
EN03,EL03,
EN04,EL04,
EN05,EL05,
EN06,EL06,
EN07,EL07,
EN08,EL08,
EN09,EL09,
EN10,EL10,
EN11,EL11,
EN12,EL12,
EN13,EL13,
% Nuclear fuel,,
XN01,EN01,
XN02,EN02,
XN03,EN03,
XN04,EN04,
XN05,EN05,
XN06,EN06,
XN07,EN07,
XN08,EN08,
XN09,EN09,
XN10,EN10,
XN11,EN11,
XN12,EN12,
XN13,EN13,
% Oil,,
EO01,EL01,
EO02,EL02,
EO03,EL03,
EO04,EL04,
EO05,EL05,
EO06,EL06,
EO07,EL07,
EO08,EL08,
EO09,EL09,
EO10,EL10,
EO11,EL11,
EO12,EL12,
EO13,EL13,
% Oil fuel,,
XO01,EO01,
XO02,EO02,
XO03,EO03,
XO04,EO04,
XO05,EO05,
XO06,EO06,
XO07,EO07,
XO08,EO08,
XO09,EO09,
XO10,EO10,
XO11,EO11,
XO12,EO12,
XO13,EO13,
% IPCC,,
EP01,EL01,
EP02,EL02,
EP03,EL03,
EP04,EL04,
EP05,EL05,
EP06,EL06,
EP07,EL07,
EP08,EL08,
EP09,EL09,
EP10,EL10,
EP11,EL11,
EP12,EL12,
EP13,EL13,
% Hydro,,
EH01,EL01,
EH02,EL02,
EH03,EL03,
EH04,EL04,
EH05,EL05,
EH06,EL06,
EH07,EL07,
EH08,EL08,
EH09,EL09,
EH10,EL10,
EH11,EL11,
EH12,EL12,
EH13,EL13,
% NGCC,,
EG01,EL01,
EG02,EL02,
EG03,EL03,
EG04,EL04,
EG05,EL05,
EG06,EL06,
EG07,EL07,
EG08,EL08,
EG09,EL09,
EG10,EL10,
EG11,EL11,
EG12,EL12,
EG13,EL13,
% NGCC w/ CCS,,
E601,EL01,
E602,EL02,
E603,EL03,
E604,EL04,
E605,EL05,
E606,EL06,
E607,EL07,
E608,EL08,
E609,EL09,
E610,EL10,
E611,EL11,
E612,EL12,
E613,EL13,
% CT,,
ET01,EL01,
ET02,EL02,
ET03,EL03,
ET04,EL04,
ET05,EL05,
ET06,EL06,
ET07,EL07,
ET08,EL08,
ET09,EL09,
ET10,EL10,
ET11,EL11,
ET12,EL12,
ET13,EL13,
% Geothermal,,
E101,EL01,
E102,EL02,
E103,EL03,
E104,EL04,
E105,EL05,
E106,EL06,
E107,EL07,
E108,EL08,
E109,EL09,
E110,EL10,
E111,EL11,
E112,EL12,
E113,EL13,
% Tidal Power,,
E202,EL02,
E203,EL03,
E207,EL07,
E208,EL08,
E209,EL09,
E211,EL11,
E213,EL13,
% Oceanic Thermal,,
E302,EL02,
E303,EL03,
E307,EL07,
E308,EL08,
E309,EL09,
E311,EL11,
E313,EL13,
% Electricity transmission,,
EL01,EL03,
EL01,EL04,
EL01,EL09,
EL02,EL10,
EL03,EL06,
EL03,EL09,
EL04,EL05,
EL04,EL09,
EL04,EL10,
EL05,EL10,
EL05,EL11,
EL05,EL12,
EL06,EL07,
EL08,EL09,
EL09,EL10,
EL10,EL12,
EL11,EL12,
EL11,EL13,
EL12,EL13,
% Electricity connections to Canada,,
XEON,EL01 ,
XEMB,EL05,
XEON,EL05,
XEON,EL06,
XEQU,EL06,
XEQU,EL07,
XENB,EL07,
XEAB,EL11,
% Coal transportation to generators,,
1TMI,EC01,
1TOH,EC01,
1TKY,EC01,
1TIN,EC01,
1TWY,EC01,
1TVA,EC01,
1TTX,EC02,
1TPA,EC03,
1TMD,EC03,
1TDE,EC03,
1TMO,EC04,
1TIL,EC04,
1TWI,EC04,
1TWI,EC05,
1TMN,EC05,
1TND,EC05,
1TSD,EC05,
1TIA,EC05,
1TNE,EC05,
1TNY,EC06,
1TME,EC07,
1TNH,EC07,
1TVT,EC07,
1TMA,EC07,
1TCT,EC07,
1TRI,EC07,
1TFL,EC08,
1TVA,EC09,
1TTN,EC09,
1TNC,EC09,
1TSC,EC09,
1TGA,EC09,
1TAL,EC09,
1TMS,EC09,
1TMS,EC10,
1TLA,EC10,
1TAR,EC10,
1TOK,EC10,
1TKS,EC10,
1TMO,EC10,
1TWA,EC11,
1TOR,EC11,
1TID,EC11,
1TMT,EC11,
1TWY,EC11,
1TUT,EC11,
1TNV,EC11,
1TWY,EC12,
1TCO,EC12,
1TAZ,EC12,
1TNM,EC12,
1TCA,EC13,
2TMI,EC01,
2TOH,EC01,
2TKY,EC01,
2TIN,EC01,
2TWY,EC01,
2TVA,EC01,
2TTX,EC02,
2TPA,EC03,
2TMD,EC03,
2TDE,EC03,
2TMO,EC04,
2TIL,EC04,
2TWI,EC04,
2TWI,EC05,
2TMN,EC05,
2TND,EC05,
2TSD,EC05,
2TIA,EC05,
2TNE,EC05,
2TNY,EC06,
2TME,EC07,
2TNH,EC07,
2TVT,EC07,
2TMA,EC07,
2TCT,EC07,
2TRI,EC07,
2TFL,EC08,
2TVA,EC09,
2TTN,EC09,
2TNC,EC09,
2TSC,EC09,
2TGA,EC09,
2TAL,EC09,
2TMS,EC09,
2TMS,EC10,
2TLA,EC10,
2TAR,EC10,
2TOK,EC10,
2TKS,EC10,
2TMO,EC10,
2TWA,EC11,
2TOR,EC11,
2TID,EC11,
2TMT,EC11,
2TWY,EC11,
2TUT,EC11,
2TNV,EC11,
2TWY,EC12,
2TCO,EC12,
2TAZ,EC12,
2TNM,EC12,
2TCA,EC13,
3TMI,EC01,
3TOH,EC01,
3TKY,EC01,
3TIN,EC01,
3TWY,EC01,
3TVA,EC01,
3TTX,EC02,
3TPA,EC03,
3TMD,EC03,
3TDE,EC03,
3TMO,EC04,
3TIL,EC04,
3TWI,EC04,
3TWI,EC05,
3TMN,EC05,
3TND,EC05,
3TSD,EC05,
3TIA,EC05,
3TNE,EC05,
3TNY,EC06,
3TME,EC07,
3TNH,EC07,
3TVT,EC07,
3TMA,EC07,
3TCT,EC07,
3TRI,EC07,
3TFL,EC08,
3TVA,EC09,
3TTN,EC09,
3TNC,EC09,
3TSC,EC09,
3TGA,EC09,
3TAL,EC09,
3TMS,EC09,
3TMS,EC10,
3TLA,EC10,
3TAR,EC10,
3TOK,EC10,
3TKS,EC10,
3TMO,EC10,
3TWA,EC11,
3TOR,EC11,
3TID,EC11,
3TMT,EC11,
3TWY,EC11,
3TUT,EC11,
3TNV,EC11,
3TWY,EC12,
3TCO,EC12,
3TAZ,EC12,
3TNM,EC12,
3TCA,EC13,
4TMI,EC01,
4TOH,EC01,
4TKY,EC01,
4TIN,EC01,
4TWY,EC01,
4TVA,EC01,
4TTX,EC02,
4TPA,EC03,
4TMD,EC03,
4TDE,EC03,
4TMO,EC04,
4TIL,EC04,
4TWI,EC04,
4TWI,EC05,
4TMN,EC05,
4TND,EC05,
4TSD,EC05,
4TIA,EC05,
4TNE,EC05,
4TNY,EC06,
4TME,EC07,
4TNH,EC07,
4TVT,EC07,
4TMA,EC07,
4TCT,EC07,
4TRI,EC07,
4TFL,EC08,
4TVA,EC09,
4TTN,EC09,
4TNC,EC09,
4TSC,EC09,
4TGA,EC09,
4TAL,EC09,
4TMS,EC09,
4TMS,EC10,
4TLA,EC10,
4TAR,EC10,
4TOK,EC10,
4TKS,EC10,
4TMO,EC10,
4TWA,EC11,
4TOR,EC11,
4TID,EC11,
4TMT,EC11,
4TWY,EC11,
4TUT,EC11,
4TNV,EC11,
4TWY,EC12,
4TCO,EC12,
4TAZ,EC12,
4TNM,EC12,
4TCA,EC13,
% Coal to generator w/CCS,,
1TMI,E401,
1TOH,E401,
1TKY,E401,
1TIN,E401,
1TWY,E401,
1TVA,E401,
1TTX,E402,
1TPA,E403,
1TMD,E403,
1TDE,E403,
1TMO,E404,
1TIL,E404,
1TWI,E404,
1TWI,E405,
1TMN,E405,
1TND,E405,
1TSD,E405,
1TIA,E405,
1TNE,E405,
1TNY,E406,
1TME,E407,
1TNH,E407,
1TVT,E407,
1TMA,E407,
1TCT,E407,
1TRI,E407,
1TFL,E408,
1TVA,E409,
1TTN,E409,
1TNC,E409,
1TSC,E409,
1TGA,E409,
1TAL,E409,
1TMS,E409,
1TMS,E410,
1TLA,E410,
1TAR,E410,
1TOK,E410,
1TKS,E410,
1TMO,E410,
1TWA,E411,
1TOR,E411,
1TID,E411,
1TMT,E411,
1TWY,E411,
1TUT,E411,
1TNV,E411,
1TWY,E412,
1TCO,E412,
1TAZ,E412,
1TNM,E412,
1TCA,E413,
2TMI,E401,
2TOH,E401,
2TKY,E401,
2TIN,E401,
2TWY,E401,
2TVA,E401,
2TTX,E402,
2TPA,E403,
2TMD,E403,
2TDE,E403,
2TMO,E404,
2TIL,E404,
2TWI,E404,
2TWI,E405,
2TMN,E405,
2TND,E405,
2TSD,E405,
2TIA,E405,
2TNE,E405,
2TNY,E406,
2TME,E407,
2TNH,E407,
2TVT,E407,
2TMA,E407,
2TCT,E407,
2TRI,E407,
2TFL,E408,
2TVA,E409,
2TTN,E409,
2TNC,E409,
2TSC,E409,
2TGA,E409,
2TAL,E409,
2TMS,E409,
2TMS,E410,
2TLA,E410,
2TAR,E410,
2TOK,E410,
2TKS,E410,
2TMO,E410,
2TWA,E411,
2TOR,E411,
2TID,E411,
2TMT,E411,
2TWY,E411,
2TUT,E411,
2TNV,E411,
2TWY,E412,
2TCO,E412,
2TAZ,E412,
2TNM,E412,
2TCA,E413,
3TMI,E401,
3TOH,E401,
3TKY,E401,
3TIN,E401,
3TWY,E401,
3TVA,E401,
3TTX,E402,
3TPA,E403,
3TMD,E403,
3TDE,E403,
3TMO,E404,
3TIL,E404,
3TWI,E404,
3TWI,E405,
3TMN,E405,
3TND,E405,
3TSD,E405,
3TIA,E405,
3TNE,E405,
3TNY,E406,
3TME,E407,
3TNH,E407,
3TVT,E407,
3TMA,E407,
3TCT,E407,
3TRI,E407,
3TFL,E408,
3TVA,E409,
3TTN,E409,
3TNC,E409,
3TSC,E409,
3TGA,E409,
3TAL,E409,
3TMS,E409,
3TMS,E410,
3TLA,E410,
3TAR,E410,
3TOK,E410,
3TKS,E410,
3TMO,E410,
3TWA,E411,
3TOR,E411,
3TID,E411,
3TMT,E411,
3TWY,E411,
3TUT,E411,
3TNV,E411,
3TWY,E412,
3TCO,E412,
3TAZ,E412,
3TNM,E412,
3TCA,E413,
4TMI,E401,
4TOH,E401,
4TKY,E401,
4TIN,E401,
4TWY,E401,
4TVA,E401,
4TTX,E402,
4TPA,E403,
4TMD,E403,
4TDE,E403,
4TMO,E404,
4TIL,E404,
4TWI,E404,
4TWI,E405,
4TMN,E405,
4TND,E405,
4TSD,E405,
4TIA,E405,
4TNE,E405,
4TNY,E406,
4TME,E407,
4TNH,E407,
4TVT,E407,
4TMA,E407,
4TCT,E407,
4TRI,E407,
4TFL,E408,
4TVA,E409,
4TTN,E409,
4TNC,E409,
4TSC,E409,
4TGA,E409,
4TAL,E409,
4TMS,E409,
4TMS,E410,
4TLA,E410,
4TAR,E410,
4TOK,E410,
4TKS,E410,
4TMO,E410,
4TWA,E411,
4TOR,E411,
4TID,E411,
4TMT,E411,
4TWY,E411,
4TUT,E411,
4TNV,E411,
4TWY,E412,
4TCO,E412,
4TAZ,E412,
4TNM,E412,
4TCA,E413,
% IGCC,,
1TMI,ED01,
1TOH,ED01,
1TKY,ED01,
1TIN,ED01,
1TWY,ED01,
1TVA,ED01,
1TTX,ED02,
1TPA,ED03,
1TMD,ED03,
1TDE,ED03,
1TMO,ED04,
1TIL,ED04,
1TWI,ED04,
1TWI,ED05,
1TMN,ED05,
1TND,ED05,
1TSD,ED05,
1TIA,ED05,
1TNE,ED05,
1TNY,ED06,
1TME,ED07,
1TNH,ED07,
1TVT,ED07,
1TMA,ED07,
1TCT,ED07,
1TRI,ED07,
1TFL,ED08,
1TVA,ED09,
1TTN,ED09,
1TNC,ED09,
1TSC,ED09,
1TGA,ED09,
1TAL,ED09,
1TMS,ED09,
1TMS,ED10,
1TLA,ED10,
1TAR,ED10,
1TOK,ED10,
1TKS,ED10,
1TMO,ED10,
1TWA,ED11,
1TOR,ED11,
1TID,ED11,
1TMT,ED11,
1TWY,ED11,
1TUT,ED11,
1TNV,ED11,
1TWY,ED12,
1TCO,ED12,
1TAZ,ED12,
1TNM,ED12,
1TCA,ED13,
2TMI,ED01,
2TOH,ED01,
2TKY,ED01,
2TIN,ED01,
2TWY,ED01,
2TVA,ED01,
2TTX,ED02,
2TPA,ED03,
2TMD,ED03,
2TDE,ED03,
2TMO,ED04,
2TIL,ED04,
2TWI,ED04,
2TWI,ED05,
2TMN,ED05,
2TND,ED05,
2TSD,ED05,
2TIA,ED05,
2TNE,ED05,
2TNY,ED06,
2TME,ED07,
2TNH,ED07,
2TVT,ED07,
2TMA,ED07,
2TCT,ED07,
2TRI,ED07,
2TFL,ED08,
2TVA,ED09,
2TTN,ED09,
2TNC,ED09,
2TSC,ED09,
2TGA,ED09,
2TAL,ED09,
2TMS,ED09,
2TMS,ED10,
2TLA,ED10,
2TAR,ED10,
2TOK,ED10,
2TKS,ED10,
2TMO,ED10,
2TWA,ED11,
2TOR,ED11,
2TID,ED11,
2TMT,ED11,
2TWY,ED11,
2TUT,ED11,
2TNV,ED11,
2TWY,ED12,
2TCO,ED12,
2TAZ,ED12,
2TNM,ED12,
2TCA,ED13,
3TMI,ED01,
3TOH,ED01,
3TKY,ED01,
3TIN,ED01,
3TWY,ED01,
3TVA,ED01,
3TTX,ED02,
3TPA,ED03,
3TMD,ED03,
3TDE,ED03,
3TMO,ED04,
3TIL,ED04,
3TWI,ED04,
3TWI,ED05,
3TMN,ED05,
3TND,ED05,
3TSD,ED05,
3TIA,ED05,
3TNE,ED05,
3TNY,ED06,
3TME,ED07,
3TNH,ED07,
3TVT,ED07,
3TMA,ED07,
3TCT,ED07,
3TRI,ED07,
3TFL,ED08,
3TVA,ED09,
3TTN,ED09,
3TNC,ED09,
3TSC,ED09,
3TGA,ED09,
3TAL,ED09,
3TMS,ED09,
3TMS,ED10,
3TLA,ED10,
3TAR,ED10,
3TOK,ED10,
3TKS,ED10,
3TMO,ED10,
3TWA,ED11,
3TOR,ED11,
3TID,ED11,
3TMT,ED11,
3TWY,ED11,
3TUT,ED11,
3TNV,ED11,
3TWY,ED12,
3TCO,ED12,
3TAZ,ED12,
3TNM,ED12,
3TCA,ED13,
4TMI,ED01,
4TOH,ED01,
4TKY,ED01,
4TIN,ED01,
4TWY,ED01,
4TVA,ED01,
4TTX,ED02,
4TPA,ED03,
4TMD,ED03,
4TDE,ED03,
4TMO,ED04,
4TIL,ED04,
4TWI,ED04,
4TWI,ED05,
4TMN,ED05,
4TND,ED05,
4TSD,ED05,
4TIA,ED05,
4TNE,ED05,
4TNY,ED06,
4TME,ED07,
4TNH,ED07,
4TVT,ED07,
4TMA,ED07,
4TCT,ED07,
4TRI,ED07,
4TFL,ED08,
4TVA,ED09,
4TTN,ED09,
4TNC,ED09,
4TSC,ED09,
4TGA,ED09,
4TAL,ED09,
4TMS,ED09,
4TMS,ED10,
4TLA,ED10,
4TAR,ED10,
4TOK,ED10,
4TKS,ED10,
4TMO,ED10,
4TWA,ED11,
4TOR,ED11,
4TID,ED11,
4TMT,ED11,
4TWY,ED11,
4TUT,ED11,
4TNV,ED11,
4TWY,ED12,
4TCO,ED12,
4TAZ,ED12,
4TNM,ED12,
4TCA,ED13,
% IGCC w/ CCS,,
1TMI,E501,
1TOH,E501,
1TKY,E501,
1TIN,E501,
1TWY,E501,
1TVA,E501,
1TTX,E502,
1TPA,E503,
1TMD,E503,
1TDE,E503,
1TMO,E504,
1TIL,E504,
1TWI,E504,
1TWI,E505,
1TMN,E505,
1TND,E505,
1TSD,E505,
1TIA,E505,
1TNE,E505,
1TNY,E506,
1TME,E507,
1TNH,E507,
1TVT,E507,
1TMA,E507,
1TCT,E507,
1TRI,E507,
1TFL,E508,
1TVA,E509,
1TTN,E509,
1TNC,E509,
1TSC,E509,
1TGA,E509,
1TAL,E509,
1TMS,E509,
1TMS,E510,
1TLA,E510,
1TAR,E510,
1TOK,E510,
1TKS,E510,
1TMO,E510,
1TWA,E511,
1TOR,E511,
1TID,E511,
1TMT,E511,
1TWY,E511,
1TUT,E511,
1TNV,E511,
1TWY,E512,
1TCO,E512,
1TAZ,E512,
1TNM,E512,
1TCA,E513,
2TMI,E501,
2TOH,E501,
2TKY,E501,
2TIN,E501,
2TWY,E501,
2TVA,E501,
2TTX,E502,
2TPA,E503,
2TMD,E503,
2TDE,E503,
2TMO,E504,
2TIL,E504,
2TWI,E504,
2TWI,E505,
2TMN,E505,
2TND,E505,
2TSD,E505,
2TIA,E505,
2TNE,E505,
2TNY,E506,
2TME,E507,
2TNH,E507,
2TVT,E507,
2TMA,E507,
2TCT,E507,
2TRI,E507,
2TFL,E508,
2TVA,E509,
2TTN,E509,
2TNC,E509,
2TSC,E509,
2TGA,E509,
2TAL,E509,
2TMS,E509,
2TMS,E510,
2TLA,E510,
2TAR,E510,
2TOK,E510,
2TKS,E510,
2TMO,E510,
2TWA,E511,
2TOR,E511,
2TID,E511,
2TMT,E511,
2TWY,E511,
2TUT,E511,
2TNV,E511,
2TWY,E512,
2TCO,E512,
2TAZ,E512,
2TNM,E512,
2TCA,E513,
3TMI,E501,
3TOH,E501,
3TKY,E501,
3TIN,E501,
3TWY,E501,
3TVA,E501,
3TTX,E502,
3TPA,E503,
3TMD,E503,
3TDE,E503,
3TMO,E504,
3TIL,E504,
3TWI,E504,
3TWI,E505,
3TMN,E505,
3TND,E505,
3TSD,E505,
3TIA,E505,
3TNE,E505,
3TNY,E506,
3TME,E507,
3TNH,E507,
3TVT,E507,
3TMA,E507,
3TCT,E507,
3TRI,E507,
3TFL,E508,
3TVA,E509,
3TTN,E509,
3TNC,E509,
3TSC,E509,
3TGA,E509,
3TAL,E509,
3TMS,E509,
3TMS,E510,
3TLA,E510,
3TAR,E510,
3TOK,E510,
3TKS,E510,
3TMO,E510,
3TWA,E511,
3TOR,E511,
3TID,E511,
3TMT,E511,
3TWY,E511,
3TUT,E511,
3TNV,E511,
3TWY,E512,
3TCO,E512,
3TAZ,E512,
3TNM,E512,
3TCA,E513,
4TMI,E501,
4TOH,E501,
4TKY,E501,
4TIN,E501,
4TWY,E501,
4TVA,E501,
4TTX,E502,
4TPA,E503,
4TMD,E503,
4TDE,E503,
4TMO,E504,
4TIL,E504,
4TWI,E504,
4TWI,E505,
4TMN,E505,
4TND,E505,
4TSD,E505,
4TIA,E505,
4TNE,E505,
4TNY,E506,
4TME,E507,
4TNH,E507,
4TVT,E507,
4TMA,E507,
4TCT,E507,
4TRI,E507,
4TFL,E508,
4TVA,E509,
4TTN,E509,
4TNC,E509,
4TSC,E509,
4TGA,E509,
4TAL,E509,
4TMS,E509,
4TMS,E510,
4TLA,E510,
4TAR,E510,
4TOK,E510,
4TKS,E510,
4TMO,E510,
4TWA,E511,
4TOR,E511,
4TID,E511,
4TMT,E511,
4TWY,E511,
4TUT,E511,
4TNV,E511,
4TWY,E512,
4TCO,E512,
4TAZ,E512,
4TNM,E512,
4TCA,E513,
% Natural gas transshipment to generation,,
NTMI,EG01,
NTOH,EG01,
NTKY,EG01,
NTIN,EG01,
NTWY,EG01,
NTVA,EG01,
NTTX,EG02,
NTPA,EG03,
NTMD,EG03,
NTDE,EG03,
NTMO,EG04,
NTIL,EG04,
NTWI,EG04,
NTWI,EG05,
NTMN,EG05,
NTND,EG05,
NTSD,EG05,
NTIA,EG05,
NTNE,EG05,
NTNY,EG06,
NTME,EG07,
NTNH,EG07,
NTVT,EG07,
NTMA,EG07,
NTCT,EG07,
NTRI,EG07,
NTFL,EG08,
NTVA,EG09,
NTTN,EG09,
NTNC,EG09,
NTSC,EG09,
NTGA,EG09,
NTAL,EG09,
NTMS,EG09,
NTMS,EG10,
NTLA,EG10,
NTAR,EG10,
NTOK,EG10,
NTKS,EG10,
NTMO,EG10,
NTWA,EG11,
NTOR,EG11,
NTID,EG11,
NTMT,EG11,
NTWY,EG11,
NTUT,EG11,
