from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
NTMA,NTNH,26.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMA,NTNY,48.70833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMA,NTRI,29.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMB,NTMN,124.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMD,NTPA,135.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMD,NTVA,265.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMD,NTWV,0.208333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTME,NTNB,36.04166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTME,NTNH,36.45833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMI,NTOH,78.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMI,NTON,164.7916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMI,NTWI,102.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMN,NTND,78.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMN,NTON,2.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMN,NTSD,98.95833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMN,NTWI,119.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMO,NTNE,28.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMO,NTOK,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMS,NTTN,417.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMT,NTND,110.2916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMT,NTSK,99.29166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTMT,NTWY,20.70833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNC,NTSC,153.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNC,NTVA,126.4583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTND,NTSD,101.2083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTND,NTSK,80.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNE,NTSD,1.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNE,NTWY,117.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNH,NTQU,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNJ,NTNY,163.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNJ,NTPA,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNM,NTTX,193.2083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNV,NTUT,84.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNY,NTON,134.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNY,NTPA,141.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOH,NTPA,89.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOH,NTWV,121.0416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTOK,NTTX,248.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
