from,to,const  % M$/PCE-mile - multiply by distance and eff to get M$/vehicle
eeUTWA,,1.68E-07
eeCOTX,,1.67E-07
eeGANY,,1.66E-07
eeMTND,,1.65E-07
eeGATX,,1.64E-07
eeNMTX,,1.64E-07
eeCACO,,1.63E-07
eeFLMD,,1.63E-07
eeCAWA,,1.62E-07
eeILTX,,1.62E-07
eeCAOR,,1.62E-07
eeNVWA,,1.62E-07
eeILMA,,1.62E-07
eeAZTX,,1.62E-07
eeIDWY,,1.62E-07
eeMNPA,,1.61E-07
eeCOIL,,1.61E-07
eeGAMN,,1.61E-07
eeFLPA,,1.61E-07
eeMNNC,,1.60E-07
eeMDMN,,1.60E-07
eeGAMA,,1.60E-07
eeMNTX,,1.59E-07
eeFLTX,,1.59E-07
eeAZUT,,1.59E-07
eeMNNY,,1.59E-07
eeFLIL,,1.59E-07
eeMNUT,,1.58E-07
eeAZOR,,1.58E-07
eeCOWA,,1.57E-07
eeFLNY,,1.57E-07
eeTXUT,,1.57E-07
eeFLMI,,1.57E-07
eeNCTX,,1.56E-07
eeNVTX,,1.56E-07
eeMITX,,1.56E-07
eeCOMI,,1.56E-07
eeAZWA,,1.55E-07
eeMAMN,,1.55E-07
eeFLMA,,1.54E-07
eeNVOR,,1.54E-07
eeCOGA,,1.53E-07
eeILUT,,1.53E-07
eeAZMN,,1.53E-07
eeMDTX,,1.52E-07
eeMNNV,,1.52E-07
eeCATX,,1.52E-07
eeFLMN,,1.52E-07
eePATX,,1.52E-07
eeCONC,,1.51E-07
eeMNWA,,1.51E-07
eeMIUT,,1.50E-07
eeNYTX,,1.50E-07
eeMNOR,,1.50E-07
eeCOPA,,1.50E-07
eeILNV,,1.50E-07
eeCAMN,,1.50E-07
eeCOMD,,1.49E-07
eeCOFL,,1.49E-07
eeGAUT,,1.49E-07
eeCONY,,1.49E-07
eeAZGA,,1.48E-07
eeMATX,,1.48E-07
eeAZMI,,1.48E-07
eeORTX,,1.48E-07
eeMINV,,1.47E-07
eeCAIL,,1.47E-07
eeILWA,,1.47E-07
eeTXWA,,1.47E-07
eeCOMA,,1.47E-07
eeNCUT,,1.47E-07
eeGANV,,1.47E-07
eeAZIL,,1.47E-07
eeILOR,,1.47E-07
eeAZFL,,1.47E-07
eeAZNC,,1.46E-07
eePAUT,,1.46E-07
eeMDUT,,1.46E-07
eeMIWA,,1.46E-07
eeFLUT,,1.46E-07
eeCAMI,,1.46E-07
eeNYUT,,1.46E-07
eeMIOR,,1.46E-07
eeNCNV,,1.46E-07
eeAZPA,,1.45E-07
eeCAGA,,1.45E-07
eeAZMD,,1.45E-07
eeFLNV,,1.45E-07
eeNVPA,,1.45E-07
eeMAUT,,1.45E-07
eeMDNV,,1.45E-07
eeAZNY,,1.45E-07
eeCANC,,1.44E-07
eeNVNY,,1.44E-07
eeGAWA,,1.44E-07
eeGAOR,,1.44E-07
eeCAFL,,1.44E-07
eeNCWA,,1.44E-07
eePAWA,,1.44E-07
eeCAPA,,1.44E-07
eeCAMD,,1.44E-07
eeNCOR,,1.44E-07
eeMDWA,,1.44E-07
eeORPA,,1.43E-07
eeMANV,,1.43E-07
eeNYWA,,1.43E-07
eeMDOR,,1.43E-07
eeCANY,,1.43E-07
eeNYOR,,1.43E-07
eeMAWA,,1.43E-07
eeFLOR,,1.43E-07
eeFLWA,,1.43E-07
eeAZMA,,1.43E-07
eeMAOR,,1.43E-07
eeCAMA,,1.43E-07
